lesson_id,lesson_title,row_type,question_or_heading,option_a,option_b,option_c,option_d,answer,hint,explanation,key_phrase,icon
u1l1,What Is Value?,intro,Price is a number. Value is a judgment.,"Price is whatever someone will pay right now — it can be pushed around by mood, urgency, or bad luck. Value is your own honest estimate of what a business is actually worth, based on the cash it can produce over time.",,,,,,,FALSE,coin
u1l1,What Is Value?,intro,Meet Mr. Market,"Picture a business partner who knocks on your door every single day with a new price for your shares — sometimes cheerful and generous, sometimes gloomy and desperate. You're never obliged to trade with him. Some days you just say no thanks.",,,,,,,FALSE,coin
u1l1,What Is Value?,intro,Key phrase,"Intrinsic value = what a business is worth, independent of whatever its current price happens to say.",,,,,,,TRUE,coin
u1l1,What Is Value?,question,"Two identical push-carts sell the same tea recipe on the same street. One is priced at ₹2 lakh, the other at ₹3 lakh, just because its owner is short on cash and needs to sell fast. What does this tell you?",The ₹3 lakh cart must be the better business,Price can be pushed around by circumstances that have nothing to do with what the business is actually worth,Tea carts can't be valued at all,The cheaper cart is definitely a scam,B,"Think about what changed — the recipe and footfall, or just the seller's situation?","A seller's urgency, mood, or bad luck can move the price tag without changing anything about the cart's ovens, recipe, or footfall — that's the gap between price and value.",,coin
u1l1,What Is Value?,question,“Intrinsic value” is best described as:,Whatever number is printed on today's price tag,"What a business is actually worth, based on the cash it can generate over time",The size of a company's advertising budget,A rule that only applies to publicly listed companies,B,Re-read the key phrase from this lesson's opening cards.,"Intrinsic value looks past the sticker price and asks a harder question: how much cash can this business realistically produce, and for how long?",,coin
u1l1,What Is Value?,question,"Since price is easy to look up and value takes effort to estimate, most investors are better off just trusting the price.",True,False,,,B,Easy to find isn't the same as reliable.,"Price is convenient, not correct. It reflects whatever the crowd feels this instant — which is a very different thing from what the business is worth.",,coin
u1l1,What Is Value?,question,"A news channel runs a scary headline and a stock drops 8% within an hour, even though nothing changed inside the company. What best explains this?",The company's factories and contracts shrank by 8% in that hour,Short-term price is driven by mood and headlines; the underlying business moves far more slowly,The stock exchange revalues every company hourly,This kind of thing never actually happens,B,Could a factory or customer base really shrink 8% in sixty minutes?,"Sentiment can swing in minutes. A factory, a customer base, a brand — none of that gets rebuilt that fast, which is exactly why price and value can drift apart.",,coin
u1l1,What Is Value?,question,"Benjamin Graham imagined the market as a business partner, ‘Mr. Market,’ who shows up daily with a new price. His point was:","You must trade with Mr. Market every day, or you're doing it wrong","You're free to ignore Mr. Market on the days his offer looks foolish, and act only when it favours you","Mr. Market is always rational, so always take his price",Mr. Market only appears once a year,B,Remember — are you ever forced to say yes to him?,"Mr. Market is moody — sometimes euphoric, sometimes gloomy. You're never obligated to trade with him; his silly offers are simply ones you walk past.",,coin
u1l2,Price vs. Value,intro,"The wider the gap, the safer your bet","When you buy well below your own honest estimate of worth, you build in a cushion. If your estimate turns out a little too optimistic, that cushion is what protects you.",,,,,,,FALSE,scale
u1l2,Price vs. Value,intro,Quality isn't the whole story,A wonderful business bought at a foolish price can still be a poor investment. What you pay relative to what you get is the entire game — not just how good the business is.,,,,,,,FALSE,scale
u1l2,Price vs. Value,intro,Key phrase,Margin of safety = the cushion between what you pay and what you honestly believe something is worth.,,,,,,,TRUE,scale
u1l2,Price vs. Value,question,You estimate a snack-stall chain is worth about ₹10 lakh. Mr. Market offers it to you at ₹7 lakh today. The sensible move is to:,"Refuse, because a discount always means something is wrong",Take the offer seriously — buying below your own honest estimate is exactly when Mr. Market is worth listening to,Wait for Mr. Market to raise the price first,Ignore price entirely and only look at value,B,Is this one of the days Mr. Market's price actually favours you?,This is the whole point of the Mr. Market idea: his usefulness shows up on the days his price sits below what you believe the business is really worth.,,scale
u1l2,Price vs. Value,question,Your estimate of worth is ₹500/share. You buy at ₹350/share. Roughly how big is your margin of safety?,10%,20%,30%,50%,C,"Find the gap first, then divide it by the value estimate — not the price paid.","₹500 − ₹350 = ₹150, and ₹150 ÷ ₹500 = 30%. That gap is your cushion if your estimate turns out to be a little optimistic.",,scale
u1l2,Price vs. Value,question,“Margin of safety” exists mainly to protect you from:,Paying brokerage fees,Your own estimate of value being wrong,The company changing its logo,Having to file taxes,B,"It's not about fees, logos, or paperwork — think about where the real uncertainty lives.",No one's value estimate is perfect. Buying with a cushion below that estimate means small errors don't sink you.,,scale
u1l2,Price vs. Value,question,A falling share price is always proof that a business is getting worse.,True,False,,,B,"Could fear, forced selling, or market-wide panic move a price with the business untouched?","Prices fall for plenty of reasons unrelated to the business — sector-wide fear, forced selling, a bad quarter for the whole market. The business itself may be untouched.",,scale
u1l2,Price vs. Value,question,"Two friends each buy the same excellent bakery chain. Rina pays 12× its yearly profit; Dev pays 40×. A year later, both bakeries perform identically. Whose investment is more likely to disappoint?",Rina's — she paid too little,Dev's — he paid a price that already assumed years of growth that may not show up,Neither — price paid never matters,"Both equally, since it's the same bakery",B,"Same business, same results — so what's actually different between Rina and Dev?",A wonderful business bought at a foolish price can still be a poor investment. What you pay relative to what you get is the whole game.,,scale
u1l3,The Time Value of Money,intro,A rupee today beats a rupee tomorrow,Money in hand right now can be invested and start growing immediately. That earning window is the entire reason sooner is worth more than later — this idea is called the time value of money.,,,,,,,FALSE,clock
u1l3,The Time Value of Money,intro,Compounding vs. simple interest,Simple interest only ever pays on your original amount. Compound interest pays interest on the interest you've already earned too — which is why growth accelerates the longer you wait.,,,,,,,FALSE,clock
u1l3,The Time Value of Money,intro,Discounting runs the clock backward,"To find what a future rupee is worth today, you shrink it using a discount rate. The higher the rate, the smaller that future amount looks in today's money.",,,,,,,FALSE,clock
u1l3,The Time Value of Money,intro,Key phrase,Rule of 72: divide 72 by the annual growth rate to estimate how many years money takes to double.,,,,,,,TRUE,clock
u1l3,The Time Value of Money,question,"Your uncle offers you ₹1,00,000 today, or ₹1,00,000 in five years. Which should you prefer, and why?",Either — it's the same amount,Today — money in hand now can be invested and start growing immediately,In five years — money left untouched always becomes more valuable on its own,"In five years, to avoid the responsibility of managing it",B,What could you do with the money in the meantime?,Money today can be put to work right away. That earning window is the entire reason sooner is worth more than later.,,clock
u1l3,The Time Value of Money,question,"₹10,000 is invested at 10% annual compound interest. What is it worth after 2 years (roughly)?","₹11,000","₹11,600","₹12,100","₹13,000",C,"Grow it by 10% once, then grow that new total by 10% again.","Year 1: ₹10,000 × 1.10 = ₹11,000. Year 2: ₹11,000 × 1.10 = ₹12,100. The second year's interest is earned on the first year's interest too — that's compounding.",,clock
u1l3,The Time Value of Money,question,“Discounting” a future cash flow means:,Applying a retail markdown to it,Converting a future rupee amount into its equivalent worth in today's rupees,Deleting it from your calculations,Adding a bonus for good luck,B,It's the mirror image of compounding — working backward from the future.,"Discounting runs the compounding logic backward: it asks what amount today would grow into that future number, at a chosen rate of return.",,clock
u1l3,The Time Value of Money,question,"Two analysts value the same ₹1,00,000 cash flow arriving in 5 years. Anaya uses a 6% discount rate, Vikram uses a 12% rate. Whose present-value estimate comes out lower?",Anaya's,Vikram's,They must be equal,Impossible to say,B,A bigger discount rate shrinks the future faster.,"A higher discount rate shrinks future money faster — you're demanding more return for waiting, so the same future amount is worth less to you today.",,clock
u1l3,The Time Value of Money,question,Simple interest and compound interest give you the same result over multiple years.,True,False,,,B,Does simple interest ever pay interest on interest already earned?,"Simple interest only ever pays on the original amount. Compound interest pays interest on the interest too, so it pulls ahead more and more each year.",,clock
u1l3,The Time Value of Money,question,"The “Rule of 72” is a quick trick to estimate how long money takes to double. At 9% annual growth, roughly how many years until it doubles?",4 years,6 years,8 years,12 years,C,72 ÷ 9 = ?,72 ÷ 9 = 8. Divide 72 by the annual growth rate and you get a rough doubling time — handy for gut-checking compounding without a calculator.,,clock
u1l4,Reading a Balance Sheet,intro,Everything owned must be paid for by something,A balance sheet always balances: what a business owns (assets) was funded either by what it owes others (liabilities) or by the owner's own stake (equity).,,,,,,,FALSE,book
u1l4,Reading a Balance Sheet,intro,Assets vs. liabilities,"Assets are things the business owns or controls that hold economic value — cash, equipment, a delivery scooter. Liabilities are obligations it must eventually settle — loans, unpaid bills.",,,,,,,FALSE,book
u1l4,Reading a Balance Sheet,intro,Key phrase,Equity = Assets − Liabilities — what's actually left over for the owner once every debt is accounted for.,,,,,,,TRUE,book
u1l4,Reading a Balance Sheet,question,"Meera's Tiffin Service owns a delivery scooter, a rented kitchen deposit, and ₹50,000 cash — ₹1,00,000 in assets altogether. It owes ₹20,000 to a supplier. What is her equity?","₹20,000","₹80,000",The scooter's price alone,Impossible to know,B,"Start from total assets, then subtract what's owed.","Assets − Liabilities = Equity. ₹1,00,000 in assets minus ₹20,000 owed leaves ₹80,000 — what's actually hers once the debt is settled.",,book
u1l4,Reading a Balance Sheet,question,Which of these belongs on the “assets” side of a balance sheet?,A loan owed to the bank,Unpaid supplier bills,The delivery scooter the business owns,Retained losses from a bad year,C,Assets are things the business owns or controls.,Assets are things the business owns or controls that hold economic value — a scooter it can use or sell qualifies. Loans and unpaid bills sit on the opposite side of the ledger.,,book
u1l4,Reading a Balance Sheet,question,Which of these belongs on the “liabilities” side?,Cash in the till,A supplier invoice not yet paid,The kitchen equipment,Owner's equity,B,Liabilities are what the business owes to someone else.,"An unpaid invoice is money the business owes someone else — a liability, by definition.",,book
u1l4,Reading a Balance Sheet,question,The fundamental balance sheet equation is:,Revenue − Expenses = Profit,Assets = Liabilities + Equity,Price = Earnings × Multiple,Cash + Debt = Value,B,"This is this lesson's key phrase, rearranged.",Every rupee of assets was funded either by what the business owes others (liabilities) or by the owner's own stake (equity) — the two sides always balance.,,book
u1l4,Reading a Balance Sheet,question,"A business can own a large pile of assets and still be in real trouble, if its liabilities are even larger.",True,False,,,A,Size of assets alone doesn't tell you what's left over.,"Size of assets alone tells you little. What matters is the gap left over after liabilities — that gap is equity, and it can be thin, or even negative.",,book
u1l5,Three Ways to Value a Business,intro,Valuers lean on three lenses,The Asset Approach asks what the business owns. The Market Approach asks what similar businesses sold for. The Income Approach asks what it's likely to earn in the future. Most real valuations blend more than one.,,,,,,,FALSE,book
u1l5,Three Ways to Value a Business,intro,EBITDA strips out the noise,"Removing interest, tax, depreciation, and amortization from earnings lets you compare operating profitability across companies, even when they're financed or depreciate their equipment very differently.",,,,,,,FALSE,book
u1l5,Three Ways to Value a Business,intro,Key phrase,"Book Value = Total Assets − Total Liabilities — a useful floor, but it mostly ignores goodwill, often a business's biggest hidden asset.",,,,,,,TRUE,book
u1l5,Three Ways to Value a Business,question,Professional valuers generally lean on three broad approaches. Which trio is it?,"Guesswork, gut feeling, and negotiation","The Asset Approach, the Market Approach, and the Income Approach","Stock charts, news headlines, and social media buzz","Tax filings, payroll, and inventory counts",B,"Think: what it owns, what similar businesses sold for, what it's likely to earn.","These three — what it owns, what similar businesses sold for, and what it's likely to earn — are the pillars most valuation professionals build on.",,book
u1l5,Three Ways to Value a Business,question,The Asset Approach values a business mainly by:,Adding up the fair market value of what it owns and subtracting what it owes,Comparing its share price to rival companies,Forecasting ten years of future profit,Counting its social media followers,A,"The name is a clue — it's about what's on the shelves, not the future.","It's essentially: value everything the business holds at fair market value, then subtract liabilities — what's left is the net asset value.",,book
u1l5,Three Ways to Value a Business,question,A young food-delivery startup has no profit yet but plenty of orders coming in. Which Market Approach ratio would still work for it?,Price-to-earnings ratio (needs profit to exist),Price-to-revenue ratio — revenue exists even without profit,Book value of its office chairs,None — unprofitable companies can never be valued,B,"Which of these two things does the startup actually have: profit, or revenue?",Price-to-revenue is popular for young or fast-growing companies precisely because revenue shows up long before profit does.,,book
