lesson_id,lesson_title,row_type,question_or_heading,option_a,option_b,option_c,option_d,answer,hint,explanation,key_phrase,icon
u3l1,Why a Rupee Today Beats a Rupee Tomorrow,intro,Money today can start earning immediately,"₹1,000 in your hand right now can be deposited, invested, or lent out today — and start growing. ₹1,000 promised a year from now has none of that earning time.",,,,,,,FALSE,clock
u3l1,Why a Rupee Today Beats a Rupee Tomorrow,intro,Inflation and risk make it worse,A future rupee also buys less (inflation) and isn't fully guaranteed (risk of non-payment). Both push its value further below a rupee in hand today.,,,,,,,FALSE,clock
u3l1,Why a Rupee Today Beats a Rupee Tomorrow,intro,Key phrase,"The time value of money: a rupee available today is worth more than a rupee available later, because of its earning potential, inflation, and risk.",,,,,,,TRUE,clock
u3l1,Why a Rupee Today Beats a Rupee Tomorrow,question,"Why is ₹10,000 today worth more than a guaranteed ₹10,000 in exactly one year?",Because rupees physically wear out over time,"Because today's ₹10,000 can be invested and start earning for a full year that the future amount misses",Because banks refuse to accept old currency,There's no real difference between the two,B,What can you do with money today that you can't do with a future promise?,Today's money has a full year of earning potential ahead of it that the future amount simply doesn't get.,,clock
u3l1,Why a Rupee Today Beats a Rupee Tomorrow,question,Which of these is NOT a standard reason a future rupee is worth less than a present one?,Lost earning/investment time,Inflation eroding purchasing power,Risk that the payment might not actually happen,"The number '10,000' looks smaller when written in the future",D,Which option is just nonsense dressed up as an economic reason?,"Three real forces reduce a future rupee's value: lost earning time, inflation, and payment risk. The fourth option isn't a real financial concept.",,clock
u3l1,Why a Rupee Today Beats a Rupee Tomorrow,question,"If there were zero inflation and zero risk of non-payment, the time value of money would completely disappear.",True,False,,,False,"Even with zero inflation and zero risk, is there still an opportunity to invest money starting today?","Even without inflation or risk, money today can still be invested and start earning — so today's rupee remains worth more purely from that earning-time advantage.",,clock
u3l1,Why a Rupee Today Beats a Rupee Tomorrow,question,"A friend offers you ₹5,000 today or ₹5,000 in exactly two years, guaranteed with zero risk. Assuming you have any use for money now, which should you prefer, and why?","₹5,000 in two years, since it feels safer","₹5,000 today, since it can be invested and grow before the two years are up","Both are exactly equal, always",Neither — you should refuse both,B,Which option gives you more time to put the money to work?,"With equal amounts and zero risk, today's money is still preferable purely because of the two extra years it has to earn a return.",,clock
u3l1,Why a Rupee Today Beats a Rupee Tomorrow,question,A country experiencing high inflation makes the time value of money:,"Irrelevant, since prices are unstable anyway","Even more pronounced, since future rupees lose purchasing power faster","Reversed, so future money becomes more valuable",Impossible to calculate,B,What does high inflation do to the purchasing power of money you'll receive later?,"Higher inflation erodes a future rupee's purchasing power faster, making the gap between present and future value even wider.",,clock
u3l2,Simple vs Compound Interest,intro,Simple interest: only the original amount earns,"With simple interest, you earn a return only on your starting principal, every period, regardless of how much interest has already piled up.",,,,,,,FALSE,clock
u3l2,Simple vs Compound Interest,intro,Compound interest: interest earns interest too,"With compounding, each period's interest gets added to your balance, and the next period earns a return on that larger amount — growth accelerates the longer it runs.",,,,,,,FALSE,clock
