lesson_id,lesson_title,row_type,question_or_heading,option_a,option_b,option_c,option_d,answer,hint,explanation,key_phrase,icon
u7l1,How Net Income Flows Into Equity,intro,Profit doesn't just vanish,"Net income from the income statement flows directly into the balance sheet, adding to retained earnings — one of the clearest links between the two statements.",,,,,,,FALSE,book
u7l1,How Net Income Flows Into Equity,intro,Dividends reduce that flow,"If the company pays dividends, that portion of net income leaves retained earnings again — only the retained (kept) portion actually builds up equity.",,,,,,,FALSE,book
u7l1,How Net Income Flows Into Equity,intro,Key phrase,"Net income flows from the income statement into retained earnings on the balance sheet, reduced by any dividends paid out.",,,,,,,TRUE,book
u7l1,How Net Income Flows Into Equity,question,"A company starts the year with ₹50,00,000 in retained earnings, earns ₹10,00,000 in net income, and pays ₹3,00,000 in dividends. What is its retained earnings at year end?","₹63,00,000","₹57,00,000","₹60,00,000","₹47,00,000",B,Ending Retained Earnings = Beginning + Net Income − Dividends.,"₹50,00,000 + ₹10,00,000 − ₹3,00,000 = ₹57,00,000 — the net income that wasn't paid out as dividends adds to retained earnings.",,book
u7l1,How Net Income Flows Into Equity,question,Which balance sheet line item is most directly connected to the income statement's net income figure?,Cash,Retained earnings (part of equity),Accounts payable,Inventory,B,Which equity component builds up specifically from accumulated profit?,Retained earnings is literally the running total of profit the company has kept over its history — the direct landing spot for each period's net income.,,book
u7l1,How Net Income Flows Into Equity,question,A company that pays out 100% of its net income as dividends would see no change to its retained earnings that period.,True,False,,,True,"If none of the profit is retained, what's left to add to retained earnings?","With the entire net income distributed as dividends, there's nothing left over to add — retained earnings stays flat that period.",,book
u7l1,How Net Income Flows Into Equity,question,"A company reports a net LOSS of ₹5,00,000 for the year (negative net income). What happens to retained earnings?","It increases by ₹5,00,000","It decreases by ₹5,00,000, since a net loss reduces accumulated profit",It's completely unaffected by losses,Losses only affect the cash flow statement,B,Does the same formula (Beginning + Net Income − Dividends) work when net income is negative?,"A net loss flows through the same link, just in the negative direction — reducing retained earnings, since accumulated profit shrinks when the company loses money.",,book
u7l1,How Net Income Flows Into Equity,question,Why is this link between net income and retained earnings considered one of the clearest examples of how the three financial statements connect?,Because it's the only connection between any two statements,Because it directly shows the income statement's bottom-line result flowing into and permanently changing a specific balance sheet line item,Because retained earnings has nothing to do with net income,Because this link only applies to companies that never pay dividends,B,"What makes this particular link such a clean, direct illustration of statement interconnection?","This is about as direct a link as it gets: a period's bottom-line result on the income statement flows straight into a specific, trackable balance sheet line — making it a natural first example of how the statements connect.",,book
u7l2,How Capex Flows Into the Balance Sheet,intro,Capex builds up fixed assets,"Capital expenditures (capex) — cash spent on long-term assets, tracked in investing cash flow — directly increases the property, plant & equipment line on the balance sheet.",,,,,,,FALSE,book
u7l2,How Capex Flows Into the Balance Sheet,intro,Cash goes down as the asset goes up,"When a company pays cash for new equipment, cash (an asset) decreases while property/equipment (another asset) increases by roughly the same amount — assets shift form, they don't just disappear.",,,,,,,FALSE,book
u7l2,How Capex Flows Into the Balance Sheet,intro,Key phrase,"Capital expenditures reduce cash and increase fixed assets on the balance sheet, in roughly matching amounts — the same transaction appears in two places.",,,,,,,TRUE,book
u7l2,How Capex Flows Into the Balance Sheet,question,"A company spends ₹20,00,000 cash to build a new warehouse. What happens to its balance sheet?","Total assets increase by ₹20,00,000","Cash decreases by ₹20,00,000 while property/equipment increases by ₹20,00,000 — total assets stay roughly the same","Total assets decrease by ₹20,00,000",Only liabilities are affected,B,"Recall the balance sheet capstone lesson's example of buying equipment with cash — is this creating new assets, or converting one into another?","Just like buying equipment outright with cash, building a warehouse converts one asset (cash) into another (fixed assets) — total assets stay roughly balanced, just redistributed.",,book
u7l2,How Capex Flows Into the Balance Sheet,question,"Where does the cash spent on capex first appear on the cash flow statement, before it shows up as a new fixed asset on the balance sheet?",Operating cash flow,"Investing cash flow, as a cash outflow",Financing cash flow,It never appears on the cash flow statement,B,Recall which cash flow section captures spending on long-term assets.,"Capex is a textbook investing activity — the cash flow statement records it as an outflow there, before that same spending shows up as a new fixed asset on the balance sheet.",,book
u7l2,How Capex Flows Into the Balance Sheet,question,"Capital expenditures immediately reduce net income by the full amount spent, in the same period.",True,False,,,False,"Recall the depreciation lesson — is a large asset purchase expensed all at once, or spread over time?","Capex isn't expensed immediately — it becomes a balance sheet asset and gets expensed gradually over time through depreciation, exactly as covered in the cash flow statement unit.",,book
u7l2,How Capex Flows Into the Balance Sheet,question,"A company's fixed assets grow by ₹50,00,000 over the year, and its cash flow statement shows ₹50,00,000 in capex. What does this consistency confirm?",Nothing — these two numbers are unrelated,That the growth in fixed assets on the balance sheet is being properly explained by actual cash spending on the cash flow statement — the two statements are lining up as expected,That the company must have made an accounting error,That the company has stopped depreciating its assets,B,"Should these two figures from two different statements naturally match up, if nothing else changed?",Seeing capex on the cash flow statement match the growth in fixed assets on the balance sheet (before accounting for any depreciation in between) is a healthy sign the statements are internally consistent — a useful cross-check.,,book
u7l2,How Capex Flows Into the Balance Sheet,question,Why is tracing a single transaction — like a capex purchase — across both the cash flow statement and balance sheet a valuable exercise for understanding financial statements?,"It has no real value, since the statements are completely independent","It builds an intuitive sense of how the three statements form one connected system, rather than three unrelated documents","This exercise is only useful for auditors, never analysts",Capex is the only transaction that ever appears on more than one statement,B,"What deeper understanding does tracing one transaction across multiple statements build, that reading each statement in isolation wouldn't?","Tracing a single real transaction through multiple statements is exactly how the intuition that 'these are one connected system, not three separate documents' gets built — a foundational skill for the rest of this unit.",,book
u7l3,How Depreciation Links All Three Statements,intro,On the income statement: an expense,"Depreciation reduces net income on the income statement, as the cost of a long-lived asset gets allocated across its useful life.",,,,,,,FALSE,book
u7l3,How Depreciation Links All Three Statements,intro,On the cash flow statement: added back,"Since depreciation is non-cash, it gets added back to net income when computing operating cash flow — reversing its effect for cash purposes.",,,,,,,FALSE,book
