lesson_id,lesson_title,row_type,question_or_heading,option_a,option_b,option_c,option_d,answer,hint,explanation,key_phrase,icon
u8l1,Margins as Ratios: A Quick Recap,intro,Margins were your first ratios,"Back in Unit 5, gross, operating, and net margin were your first taste of ratio analysis — a profit figure divided by revenue, turned into a comparable percentage.",,,,,,,FALSE,scale
u8l1,Margins as Ratios: A Quick Recap,intro,This unit builds outward from there,"Beyond margins, this unit adds ratios that measure returns on what a company owns (ROA, ROE) and how efficiently it uses its assets (turnover ratios) — a fuller profitability and efficiency toolkit.",,,,,,,FALSE,scale
u8l1,Margins as Ratios: A Quick Recap,intro,Key phrase,"A financial ratio takes two numbers from the statements and divides them, turning raw figures into a comparable measure of performance.",,,,,,,TRUE,scale
u8l1,Margins as Ratios: A Quick Recap,question,"Which of these is an example of a ratio you already learned, back in Unit 5?",Total revenue,Net margin (net income ÷ revenue),Total assets,Cash balance,B,"Which of these is a single number, and which is a division of two numbers?","Net margin — net income divided by revenue — is a ratio, exactly the pattern this whole unit builds on: take two numbers, divide, get a comparable measure.",,scale
u8l1,Margins as Ratios: A Quick Recap,question,Why are ratios generally more useful for comparing companies than raw financial figures?,Raw figures are always superior for any comparison,"Ratios neutralize differences in company size, making performance comparable across companies of very different scales","Ratios are only used by regulators, never analysts",There's no real difference between ratios and raw figures,B,Recall the margins lesson's explanation for why percentages beat raw rupee comparisons.,"Just as margins let you compare a small company's profitability to a giant's fairly, ratios in general strip out the effect of sheer size, letting you compare efficiency and returns on a level footing.",,scale
u8l1,Margins as Ratios: A Quick Recap,question,A ratio is calculated by dividing one financial figure by another.,True,False,,,True,"Is that literally what a ratio, mathematically, is?","That's the basic mechanic behind every ratio in this unit — two numbers, divided, producing one comparable measure.",,scale
u8l1,Margins as Ratios: A Quick Recap,question,"This unit is titled 'Profitability & Efficiency.' Based on the intro cards, which of these best fits the 'efficiency' half?",Net margin,Return on Equity,A turnover ratio measuring how effectively assets generate sales,Gross margin,C,"Which of these measures how well resources are being used, rather than how much profit is being made per rupee of sales?","Turnover ratios (covered later in this unit) measure how efficiently a company's assets are being put to work generating sales — the 'efficiency' half of this unit's title, distinct from the pure profitability of a margin.",,scale
u8l1,Margins as Ratios: A Quick Recap,question,Why does this course revisit margins briefly before introducing new ratios like ROA and ROE?,Because margins and the new ratios are completely unrelated concepts,Because margins are the simplest example of the 'divide two numbers for a comparable measure' pattern that every new ratio in this unit will follow,Repetition is used here purely as a memorization trick with no conceptual purpose,Margins are actually being replaced and will no longer be used,B,What foundational pattern do margins establish that the rest of this unit builds directly on?,"Margins already established the core ratio-analysis pattern — divide two numbers, get something comparable — so revisiting them briefly sets up exactly the mental model the rest of this unit's new ratios will reuse.",,scale
u8l2,Return on Assets (ROA),intro,How much profit per rupee of assets?,"Return on Assets = Net Income ÷ Total Assets. It measures how efficiently a company turns everything it owns into profit, regardless of how those assets were financed.",,,,,,,FALSE,scale
u8l2,Return on Assets (ROA),intro,Higher generally means more efficient,A higher ROA suggests the company is generating more profit from each rupee tied up in assets — though capital-light businesses naturally post higher ROA than capital-heavy ones.,,,,,,,FALSE,scale
u8l2,Return on Assets (ROA),intro,Key phrase,Return on Assets = Net Income ÷ Total Assets — how much profit a company generates for every rupee of assets it owns.,,,,,,,TRUE,scale
u8l2,Return on Assets (ROA),question,"A company has net income of ₹20,00,000 and total assets of ₹2,00,00,000. What is its ROA?",2%,10%,20%,50%,B,ROA = Net Income ÷ Total Assets.,"₹20,00,000 ÷ ₹2,00,00,000 = 0.10, or 10% — the company generates 10 paise of profit for every rupee of assets it holds.",,scale
u8l2,Return on Assets (ROA),question,A capital-light software company and a capital-heavy airline post identical net income. Which would you generally expect to have the HIGHER ROA?,"The airline, since planes are valuable assets","The software company, since it needs far fewer total assets to generate the same profit",They'll always be identical,ROA doesn't apply to service businesses,B,Which company needs a much smaller denominator (total assets) to generate the same profit?,"With far fewer assets required to generate the same profit, the software company would post a meaningfully higher ROA — even with identical net income to the asset-heavy airline.",,scale
u8l2,Return on Assets (ROA),question,ROA accounts for how a company's assets happen to be financed — with debt or with equity.,True,False,,,False,Does the ROA formula involve liabilities or equity at all?,"ROA only involves net income and total assets — it deliberately ignores HOW those assets were financed, which is exactly why ROE (the next lesson) exists as a complementary measure.",,scale
u8l2,Return on Assets (ROA),question,"Two companies have identical total assets, but Company X's net income is double Company Y's. What does this tell you about their relative ROA?",Company X's ROA will be double Company Y's,Company Y's ROA will be double Company X's,Their ROA will be identical,ROA has no relationship to net income,A,"With the same denominator, what happens to the ratio when the numerator doubles?","With identical total assets (the denominator) but double the net income (the numerator), Company X's ROA comes out exactly double Company Y's.",,scale
u8l2,Return on Assets (ROA),question,"Why might comparing ROA across two companies in very different industries be misleading, similar to the earlier gross margin caution?","ROA is identical across all industries, so comparisons are always valid","Different industries have structurally different asset intensity — a capital-heavy manufacturer will typically show lower ROA than a capital-light service business, regardless of actual management quality",ROA only applies to manufacturing companies,There's no meaningful difference between industries for ROA purposes,B,Recall the earlier caution about comparing gross margins across very different industries — does the same logic apply here?,"Just as with gross margin, structural differences in how asset-intensive an industry naturally is can make cross-industry ROA comparisons misleading — ROA is most meaningful when comparing companies within the same or similar industries.",,scale
u8l3,Return on Equity (ROE),intro,How much profit per rupee of owners' investment?,"Return on Equity = Net Income ÷ Total Equity. It measures the return generated specifically for shareholders, on the capital they've contributed and the profits the company has retained.",,,,,,,FALSE,scale
u8l3,Return on Equity (ROE),intro,Debt can inflate ROE,A company using more debt (and less equity) to finance its assets can show a higher ROE than an equally profitable company using less debt — because the same net income is divided by a smaller equity base.,,,,,,,FALSE,scale
u8l3,Return on Equity (ROE),intro,Key phrase,Return on Equity = Net Income ÷ Total Equity — the return generated specifically for shareholders on their invested and retained capital.,,,,,,,TRUE,scale
u8l3,Return on Equity (ROE),question,"A company has net income of ₹15,00,000 and total equity of ₹75,00,000. What is its ROE?",5%,15%,20%,75%,C,ROE = Net Income ÷ Total Equity.,"₹15,00,000 ÷ ₹75,00,000 = 0.20, or 20% — shareholders are earning a 20% return on their stake in the company that year.",,scale
u8l3,Return on Equity (ROE),question,"Two companies have identical net income and identical total assets, but Company A uses much more debt (and less equity) to finance those assets than Company B. Which would you expect to have the HIGHER ROE?","Company B, with more equity","Company A, with less equity funding the same asset base, and therefore a smaller ROE denominator",They'll always be identical,ROE is unaffected by financing choices,B,"With a smaller equity base (denominator) but the same net income (numerator), what happens to the ratio?","With a smaller equity base absorbing the same net income, Company A's ROE would come out higher — a direct illustration of how leverage (debt) can amplify ROE, for better or worse.",,scale
u8l3,Return on Equity (ROE),question,"A very high ROE is always unambiguously a sign of a great, low-risk business.",True,False,,,False,Could a high ROE be driven by heavy debt rather than genuinely great underlying profitability?,"As the leverage example shows, a high ROE can be partly or largely driven by heavy debt financing rather than pure operating excellence — meaning it should be interpreted alongside debt levels, not read as unambiguously positive on its own.",,scale
u8l3,Return on Equity (ROE),question,"Why do analysts often look at ROA and ROE TOGETHER, rather than relying on just one of them?","Because ROA and ROE always give identical results, so checking both is redundant",Because comparing the two can reveal how much of a company's shareholder return is coming from genuine asset efficiency versus financial leverage (debt),ROA and ROE measure completely unrelated things with no useful comparison,Only ROE is ever relevant; ROA is a purely academic concept,B,What does the GAP between ROA and ROE specifically reveal about a company's financing choices?,A large gap between ROA (unaffected by financing) and ROE (which leverage can inflate) is itself informative — it points toward how much of the shareholder return is coming from real asset efficiency versus simply the amplifying effect of debt.,,scale
u8l3,Return on Equity (ROE),question,"A company boosts its ROE significantly by taking on much more debt, with net income and total assets staying roughly the same. What's a reasonable concern to weigh against the improved ROE?",There's no concern — ROE improving is always unambiguously good news,"The company now carries more financial risk (from the earlier capital structure unit), which isn't visible just by looking at the improved ROE number alone",This is mathematically impossible without a change in net income,Debt has no bearing on financial risk,B,"Recall the capital structure and leverage lessons from Book V — what risk does more debt introduce, that a rising ROE number alone doesn't show?","As covered in the earlier capital structure lessons, more debt raises financial risk (bigger fixed obligations, more exposure if performance dips) — risk that a rising ROE figure alone doesn't reveal, which is exactly why ROE should never be read in isolation.",,scale
u8l4,Asset Turnover,intro,How much revenue per rupee of assets?,"Asset Turnover = Revenue ÷ Total Assets. It measures how efficiently a company uses its total asset base to generate sales — a pure efficiency measure, not a profitability one.",,,,,,,FALSE,scale
u8l4,Asset Turnover,intro,"Different from ROA, on purpose","ROA asks 'how much PROFIT per rupee of assets.' Asset turnover asks 'how much REVENUE per rupee of assets' — related, but measuring efficiency at a different stage.",,,,,,,FALSE,scale
u8l4,Asset Turnover,intro,Key phrase,"Asset Turnover = Revenue ÷ Total Assets — how efficiently a company generates sales from the assets it owns, independent of profit margin.",,,,,,,TRUE,scale
