lesson_id,lesson_title,row_type,question_or_heading,option_a,option_b,option_c,option_d,answer,hint,explanation,key_phrase,icon
u11l1,Why Statistics Matters for Finance,intro,Every valuation is built on estimates,"Growth rates, discount rates, probabilities of default — none of these are known with certainty. Statistics is the toolkit for reasoning carefully about uncertain numbers instead of guessing.",,,,,,,FALSE,book
u11l1,Why Statistics Matters for Finance,intro,From Book I's judgment calls to real tools,"Book I repeatedly asked 'is this ratio meaningfully different?' or 'is this trend real?' — statistics gives precise, rigorous ways to actually answer those questions.",,,,,,,FALSE,book
u11l1,Why Statistics Matters for Finance,intro,Key phrase,"Statistics gives finance a rigorous way to describe, compare, and reason about numbers that are uncertain or variable, rather than fixed and known.",,,,,,,TRUE,book
u11l1,Why Statistics Matters for Finance,question,"Which of these financial questions would benefit most directly from statistical tools, rather than simple arithmetic?",Adding up a company's total assets from its balance sheet,"Judging whether a 3% difference in two companies' margins reflects a real, meaningful difference or just normal variation",Calculating a company's current ratio from known figures,Looking up a stock's ticker symbol,B,Which of these questions involves genuine uncertainty about whether an observed difference is meaningful?,Judging whether a difference is 'real' versus just noise is exactly the kind of question statistics is built to answer rigorously — unlike straightforward arithmetic on known figures.,,book
u11l1,Why Statistics Matters for Finance,question,Recall Book I's closing capstone lesson — which specific judgment calls did it flag as needing more rigorous tools than plain ratio calculation alone?,None — Book I claimed every judgment could be made with certainty,"Judging whether a ratio is genuinely different from a peer's, and whether a trend over time is meaningful or just noise",Only questions about company names and tickers,Questions about which font a financial statement uses,B,Recall the very last lesson of Book I — what specific connection did it draw to this next book?,Book I's own closing lesson flagged exactly these two recurring judgment calls — genuine difference versus noise — as the natural bridge into this book's more rigorous statistical toolkit.,,book
u11l1,Why Statistics Matters for Finance,question,Statistics is only useful for academic research and has no practical application in everyday financial analysis.,True,False,,,False,Recall this course's repeated emphasis on judgment calls throughout Book I — do those judgment calls show up in everyday financial analysis?,"As Book I's own examples throughout the ratio-analysis units showed, questions about meaningful differences and real trends come up constantly in everyday financial analysis — exactly where statistical tools have direct, practical value.",,book
u11l1,Why Statistics Matters for Finance,question,"Why might two analysts, looking at the exact same set of financial numbers, reach different conclusions without a shared statistical framework?",This could never happen if the numbers are the same,"Without a shared, rigorous way to judge what counts as a 'meaningful' difference or a 'real' trend, personal intuition alone can lead reasonable people to different conclusions from identical data","Financial numbers are always perfectly unambiguous, with no room for interpretation",Statistics eliminates the need for any human judgment whatsoever,B,"What does a shared statistical framework add that pure intuition, applied to the same numbers, might lack?","Without a shared, rigorous framework for judging meaningfulness, two reasonable analysts examining identical numbers could genuinely disagree — statistics doesn't remove judgment entirely, but it grounds it in a common, checkable framework.",,book
u11l1,Why Statistics Matters for Finance,question,"This unit is titled 'Statistics & Quantitative Foundations.' Based on this lesson, what is this unit's role in the overall course?",A completely standalone topic disconnected from the valuation-focused Book I,"Building a rigorous toolkit that both closes gaps left open in Book I's judgment calls and lays groundwork for risk, probability, and modeling concepts used throughout the rest of the course",A brief detour with no further relevance to later units,A replacement for everything taught in Book I,B,"How does this lesson frame the relationship between this new unit and everything covered so far, as well as what's still ahead?","This lesson explicitly frames Book II as both closing out Book I's open judgment-call questions and building foundational tools — probability, risk, distributions — that will resurface throughout valuation, corporate finance, and beyond in the rest of this course.",,book
u11l2,"Mean, Median & Mode",intro,Three ways to answer 'what's typical?',"Mean (the average), median (the middle value when sorted), and mode (the most frequent value) are three different ways of summarizing a data set's 'center' — and they can tell very different stories.",,,,,,,FALSE,coin
u11l2,"Mean, Median & Mode",intro,Outliers hit the mean hardest,"A single extreme value can drag the mean far from where most of the data actually sits, while the median stays much more stable — a distinction that matters constantly in finance.",,,,,,,FALSE,coin
u11l2,"Mean, Median & Mode",intro,Key phrase,"Mean is the average, median is the middle value, mode is the most frequent value — three different, sometimes very different, measures of a data set's center.",,,,,,,TRUE,coin
u11l2,"Mean, Median & Mode",question,"A small company has 5 employees earning ₹3,00,000, ₹3,50,000, ₹4,00,000, ₹4,50,000, and ₹85,00,000 (the founder) per year. What is the median salary?","₹4,00,000","₹20,00,000","₹85,00,000","₹3,00,000",A,The median is the middle value once the data is sorted — which value sits exactly in the middle of these 5?,"With the data already sorted, ₹4,00,000 is the exact middle (3rd of 5) value — the median, unaffected by the founder's extreme salary.",,coin
u11l2,"Mean, Median & Mode",question,"Using the same 5 salaries from the previous question, what is the mean (average) salary?","₹4,00,000","₹19,60,000","₹85,00,000","₹3,50,000",B,Add all 5 salaries and divide by 5.,"(₹3,00,000+₹3,50,000+₹4,00,000+₹4,50,000+₹85,00,000) ÷ 5 = ₹19,60,000 — the founder's outlier salary drags the mean far above what any typical employee actually earns, unlike the median.",,coin
u11l2,"Mean, Median & Mode",question,"In a data set containing one extreme outlier, the median is generally more resistant (less affected) than the mean.",True,False,,,True,"Recall the salary example — which measure moved dramatically because of the outlier, and which stayed close to the 'typical' value?","As the salary example directly demonstrated, the median (₹4,00,000) stayed close to what a typical employee earns, while the mean (₹19,60,000) was dragged far upward by a single extreme value — median's resistance to outliers is a key reason it's often preferred for skewed data.",,coin
u11l2,"Mean, Median & Mode",question,"A real estate market report says the 'average' home price is ₹1.2 crore, but a closer look shows the 'median' home price is ₹75 lakh. What does this gap most likely suggest?",There's an error in the report,A relatively small number of very expensive homes are pulling the mean (average) well above where most homes are actually priced,Most homes in the market cost exactly ₹1.2 crore,The median must be the incorrect figure,B,Recall the outlier-sensitivity distinction — what typically causes a mean to sit well above a median for the same data?,"Just as with the salary example, a mean sitting well above the median usually signals that a relatively small number of high-value outliers (here, expensive homes) are pulling the average upward — while the median better reflects what a 'typical' home actually costs.",,coin
u11l2,"Mean, Median & Mode",question,Why might a financial analyst deliberately choose to report the MEDIAN rather than the mean when describing typical household income in a country with significant income inequality?,The median is always mathematically larger than the mean,"The median is far less distorted by a small number of extremely high incomes, better representing what a 'typical' household actually earns","Mean and median are always identical, so the choice is arbitrary","Median can only be calculated for financial data, never demographic data",B,"Given the earlier salary and housing examples, which measure better represents a 'typical' value when a data set has a few extreme values pulling it in one direction?",In a setting with meaningful inequality — extreme high values scattered among typical ones — the median's resistance to outliers makes it a more honest representation of what a 'typical' household actually experiences than a mean that a small number of very high earners can distort upward.,,coin
u11l3,Mode & Choosing the Right Measure,intro,Mode: the most common value,"Mode is simply the value that appears most frequently in a data set. Unlike mean and median, a data set can have no mode, one mode, or even multiple modes.",,,,,,,FALSE,coin
u11l3,Mode & Choosing the Right Measure,intro,No single 'best' measure — it depends on the question,"Mean, median, and mode each answer a subtly different question. Choosing the wrong one for the situation can genuinely mislead, even when the calculation itself is done correctly.",,,,,,,FALSE,coin
u11l3,Mode & Choosing the Right Measure,intro,Key phrase,"There's no universally 'best' measure of center — the right choice (mean, median, or mode) depends on what question you're actually trying to answer and how the data is shaped.",,,,,,,TRUE,coin
u11l3,Mode & Choosing the Right Measure,question,"A shoe retailer sells sizes 6, 7, 7, 8, 8, 8, 9, 10 in a day. What is the mode?",6,7,8,10,C,Which size appears most often in this list?,"Size 8 appears three times, more than any other size — making it the mode, and directly useful for the retailer's inventory planning (which size to stock most).",,coin
u11l3,Mode & Choosing the Right Measure,question,A retailer deciding which shoe size to stock the MOST of would find which measure of center most directly useful?,"Mean, since it accounts for every sale","Median, since it ignores outliers","Mode, since it directly identifies the single most commonly purchased size",None of these measures are relevant to inventory decisions,C,"Which measure directly answers 'what's the single most common value,' rather than 'what's typical or average'?","For a genuinely practical inventory question — which single size to stock most — mode is the direct, useful answer; mean or median wouldn't even correspond to an actual purchasable shoe size in this context.",,coin
u11l3,Mode & Choosing the Right Measure,question,"A data set can have more than one mode, or no mode at all, unlike mean and median which are always single, unique values (given a fixed calculation method).",True,False,,,True,"Can multiple values tie for 'most frequent,' or can every value appear exactly once?","Unlike mean and median, mode depends on frequency ties — a data set where every value is equally common has no meaningful mode, and one with two equally frequent leading values has two modes.",,coin
