lesson_id,lesson_title,row_type,question_or_heading,option_a,option_b,option_c,option_d,answer,hint,explanation,key_phrase,icon
u4l1,What a Balance Sheet Shows,intro,"A snapshot, not a movie","Unlike an income statement, which covers a period, a balance sheet shows a company's financial position at one single instant — as of a specific date, like a photograph.",,,,,,,FALSE,book
u4l1,What a Balance Sheet Shows,intro,"Three buckets: assets, liabilities, equity","Everything on a balance sheet sorts into what the company owns (assets), what it owes (liabilities), and what's left for owners after debts are settled (equity).",,,,,,,FALSE,book
u4l1,What a Balance Sheet Shows,intro,Key phrase,"A balance sheet is a snapshot, at one point in time, of what a company owns, what it owes, and what's left over for its owners.",,,,,,,TRUE,book
u4l1,What a Balance Sheet Shows,question,An income statement covers a period (like a year); a balance sheet covers:,"A period as well, just a shorter one","A single point in time, like a snapshot",Only the company's future plans,Nothing financial at all,B,Photograph vs. video — which one is the balance sheet?,"A balance sheet is dated 'as of' a specific day — it's a snapshot of financial position at that instant, not a summary of activity over a stretch of time.",,book
u4l1,What a Balance Sheet Shows,question,Which three categories make up a balance sheet?,"Revenue, expenses, profit","Assets, liabilities, equity","Cash, debt, taxes","Sales, marketing, operations",B,Recall the three buckets from the key phrase.,"Everything on a balance sheet sorts into assets (what's owned), liabilities (what's owed), and equity (what's left for owners).",,book
u4l1,What a Balance Sheet Shows,question,A balance sheet tells you how much profit a company made during the year.,True,False,,,False,"Which statement covers a period of activity, and which is a single-moment snapshot?","That's the income statement's job. A balance sheet shows position at one point in time, not activity or profit over a period.",,book
u4l1,What a Balance Sheet Shows,question,"If a company's balance sheet is dated 31 March, what does it tell you?",Everything the company did all year,"The company's financial position exactly as of 31 March, that single day",Only next year's forecast,Nothing useful without more context,B,'As of' a date — what kind of information does that phrasing signal?,"A balance sheet dated 31 March captures the company's assets, liabilities, and equity exactly as they stood on that one day.",,book
u4l1,What a Balance Sheet Shows,question,Why might a company's balance sheet look meaningfully different just a few weeks after the date it's dated for?,Balance sheets never change once published,"Ongoing business activity (sales, payments, borrowing) constantly shifts assets, liabilities, and equity after that snapshot date",Balance sheets are only updated once a decade,It's illegal for a balance sheet to ever change,B,"Since it's a snapshot, what happens to the picture once time keeps moving forward?","Because a balance sheet is frozen at one moment, ordinary business activity in the following weeks — sales, payments, new debt — naturally makes the picture out of date again quickly.",,book
u4l2,Assets: What a Company Owns,intro,Assets are resources with future value,"An asset is anything the company owns or controls that's expected to provide future economic benefit — cash, inventory, buildings, equipment, and more.",,,,,,,FALSE,book
u4l2,Assets: What a Company Owns,intro,Current vs non-current assets,"Current assets (cash, receivables, inventory) are expected to convert to cash within a year. Non-current assets (property, equipment, long-term investments) are held for longer.",,,,,,,FALSE,book
u4l2,Assets: What a Company Owns,intro,Key phrase,"Assets are what a company owns or controls, split into current (convert to cash within a year) and non-current (held longer-term).",,,,,,,TRUE,book
u4l2,Assets: What a Company Owns,question,"A company's factory building, expected to be used for the next 20 years, would be classified as a:",Current asset,Non-current asset,Liability,Piece of equity,B,"Is this something that turns into cash within a year, or is held much longer?","With a 20-year useful life, the factory is a long-term resource — a non-current asset, not something converting to cash within a year.",,book
u4l2,Assets: What a Company Owns,question,Cash sitting in a company's bank account is classified as a:,Non-current asset,Current asset,Liability,Revenue,B,Cash is already cash — how quickly could it be 'converted' to cash?,"Cash is the most current of current assets — it's already liquid, requiring no conversion at all.",,book
u4l2,Assets: What a Company Owns,question,Inventory that a retailer expects to sell within the next few months is classified as a current asset.,True,False,,,True,Will it likely convert to cash (through a sale) within a year?,"Inventory expected to sell within months clearly converts to cash well within a year, making it a current asset.",,book
u4l2,Assets: What a Company Owns,question,Which of these is the best example of a NON-current asset?,Cash in the bank,Accounts receivable due next month,A patent the company expects to use commercially for the next 15 years,Inventory ready for sale next week,C,Which item is tied up for the longest stretch of time?,"A 15-year patent is a long-lived resource held well beyond a year — a textbook non-current (specifically, intangible) asset.",,book
u4l2,Assets: What a Company Owns,question,Why does the current vs. non-current split matter to someone analyzing a company's balance sheet?,It doesn't matter at all — it's just a formatting choice,"It helps show how much of the company's resources could realistically be turned into cash quickly, which matters for assessing short-term financial flexibility",Non-current assets are always worthless,Current assets are illegal to hold for more than a week,B,What does knowing 'how much cash could this become soon' tell an analyst about a company's flexibility?,Separating current from non-current assets lets an analyst quickly judge how much of a company's resources are readily available versus tied up long-term — a key input into assessing short-term financial health.,,book
u4l3,Liabilities: What a Company Owes,intro,Liabilities are obligations to others,"A liability is something the company owes — to lenders, suppliers, employees, tax authorities, or anyone else with a legitimate claim on its resources.",,,,,,,FALSE,book
u4l3,Liabilities: What a Company Owes,intro,Current vs non-current liabilities,"Current liabilities (accounts payable, short-term debt, accrued wages) are due within a year. Non-current liabilities (long-term loans, bonds) are due further out.",,,,,,,FALSE,book
u4l3,Liabilities: What a Company Owes,intro,Key phrase,"Liabilities are what a company owes to outside parties, split into current (due within a year) and non-current (due later).",,,,,,,TRUE,book
u4l3,Liabilities: What a Company Owes,question,"A company's unpaid electricity bill, due next month, is classified as a:",Non-current asset,Current liability,Equity,Non-current liability,B,"Is this something owed, or something owned — and is it due soon?","An unpaid bill is money the company owes, due within a year — a straightforward current liability.",,book
u4l3,Liabilities: What a Company Owes,question,"A 10-year bank loan the company took out to build a new factory, with most of the repayments due years from now, is classified as a:",Current asset,Non-current liability,Current liability,Equity,B,"Owed, and due far in the future — which category fits?","A long-term loan not due within the next year is a non-current liability — an obligation, but not an urgent one.",,book
u4l3,Liabilities: What a Company Owes,question,Accounts payable — money owed to suppliers for goods already delivered — is typically classified as a current liability.,True,False,,,True,Is this the kind of obligation usually settled within weeks or months?,"Accounts payable is typically settled within a short window (often 30–90 days), making it a classic current liability.",,book
u4l3,Liabilities: What a Company Owes,question,Which of these is a NON-current liability?,"This month's rent, due in 5 days","A 15-year bond the company issued, with principal due in year 15",Wages owed to staff for the current pay period,A supplier invoice due in 45 days,B,Which obligation is due furthest out in time?,"A 15-year bond with principal due far in the future is squarely a non-current, long-term liability.",,book
u4l3,Liabilities: What a Company Owes,question,Why do analysts pay close attention to how much of a company's liabilities are current versus non-current?,It has no bearing on financial risk,"A large pile of current liabilities coming due soon can signal near-term cash pressure, even if the company is healthy longer-term",Non-current liabilities never need to be repaid,Current liabilities are always a sign of fraud,B,What does a heavy load of near-term obligations tell you about a company's short-term cash needs?,"Heavy current liabilities mean a lot of cash is needed soon — a useful early signal of potential short-term strain, distinct from a company's longer-term financial health.",,book
u4l4,Equity: The Owners' Claim,intro,Equity is what's left for owners,Equity represents the owners' residual claim: what remains after all liabilities are subtracted from all assets. It's not a pile of cash — it's an accounting leftover.,,,,,,,FALSE,book
u4l4,Equity: The Owners' Claim,intro,Where equity comes from,"Equity builds up from money shareholders originally put in (share capital), plus profits the company has kept and reinvested over time (retained earnings), minus any losses or dividends paid out.",,,,,,,FALSE,book
