lesson_id,lesson_title,row_type,question_or_heading,option_a,option_b,option_c,option_d,answer,hint,explanation,key_phrase,icon
u6l1,Why Profit Isn't Cash,intro,Net income includes non-cash items,The income statement includes things like depreciation that reduce profit without any cash actually leaving the company that period.,,,,,,,FALSE,clock
u6l1,Why Profit Isn't Cash,intro,Timing differences pile up too,"A sale on credit counts as revenue immediately, but the cash might not arrive for months — profit and cash can tell very different stories in the same period.",,,,,,,FALSE,clock
u6l1,Why Profit Isn't Cash,intro,Key phrase,"A company can be profitable on paper and still run short of actual cash, because net income includes non-cash items and timing differences that cash flow doesn't.",,,,,,,TRUE,clock
u6l1,Why Profit Isn't Cash,question,"A company reports ₹50,00,000 net income this year, but most of its sales were on credit and haven't been collected yet. What might its actual cash position look like?","Identical to net income, always","Potentially much weaker than net income suggests, since uncollected credit sales haven't turned into real cash yet",Automatically negative,Irrelevant to the business,B,Does revenue recognized on a credit sale mean cash has actually arrived?,Uncollected credit sales inflate reported profit without putting real cash in the bank — a classic reason profit and cash diverge.,,clock
u6l1,Why Profit Isn't Cash,question,Which of these is a non-cash expense that reduces net income without any cash actually leaving the company that period?,Cash paid to suppliers,Wages paid to employees,Depreciation of equipment,Rent paid in cash,C,"Which expense reflects wear on an asset already paid for long ago, not a new cash outflow?","Depreciation spreads an asset's cost over time on paper, but no new cash leaves the company each period it's recorded — a textbook non-cash expense.",,clock
u6l1,Why Profit Isn't Cash,question,A company can be profitable according to its income statement and still run out of cash.,True,False,,,True,Can net income be positive while actual cash collections lag behind?,This is exactly why the cash flow statement exists — profitable companies can and do run into real cash shortages when profit and cash timing diverge.,,clock
u6l1,Why Profit Isn't Cash,question,Why does the cash flow statement exist as a separate report from the income statement?,"They always show identical numbers, so it's redundant","Because net income (accrual-based) and actual cash movement can differ significantly, and investors need to see both",Because tax authorities require three completely unrelated statements,Cash flow statements are optional and rarely used,B,What gap between two different measures of performance does a third statement need to fill?,"The cash flow statement exists precisely to reveal actual cash movement, filling the gap left by an income statement that includes non-cash items and timing effects.",,clock
u6l1,Why Profit Isn't Cash,question,"A retailer reports strong profit for the holiday season, driven heavily by a surge in sales made on store credit accounts not yet paid off. What should this prompt an analyst to check?",Nothing — profit already tells the complete story,"Whether that reported profit is actually showing up as real cash, given how much of it is sitting in not-yet-collected credit accounts",That the retailer's tax rate must have changed,That depreciation must be the cause,B,Which lesson idea directly applies here — credit sales counting as revenue before cash arrives?,"A surge in credit sales inflates reported profit immediately, but the cash lags behind — exactly the timing gap this lesson opened with, and a good reason to check the cash flow statement before assuming the season was a cash windfall too.",,clock
u6l2,Operating Cash Flow,intro,Cash from the core business,"Operating cash flow (OCF) captures cash generated or used by the company's core, everyday business activities — collecting from customers, paying suppliers and staff.",,,,,,,FALSE,clock
u6l2,Operating Cash Flow,intro,"Starts from net income, then adjusts","Most cash flow statements build OCF by starting with net income, adding back non-cash expenses like depreciation, and adjusting for changes in working capital items.",,,,,,,FALSE,clock
u6l2,Operating Cash Flow,intro,Key phrase,"Operating cash flow measures the actual cash generated by day-to-day business operations, adjusting net income for non-cash items and working capital changes.",,,,,,,TRUE,clock
u6l2,Operating Cash Flow,question,"A company's net income is ₹20,00,000, and it had ₹5,00,000 in depreciation (a non-cash expense) during the year, with no other adjustments. What would its operating cash flow approximately be?","₹15,00,000","₹20,00,000","₹25,00,000","₹5,00,000",C,Depreciation reduced net income without using cash — so what happens when you add it back?,"Since depreciation reduced net income by ₹5,00,000 without any actual cash leaving, adding it back gives ₹20,00,000 + ₹5,00,000 = ₹25,00,000 in operating cash flow.",,clock
u6l2,Operating Cash Flow,question,Which of these would typically be included in operating cash flow?,Cash paid to buy a new factory,Cash received from issuing new shares,Cash collected from customers for goods sold,Cash paid to purchase another company,C,"Which of these is tied to the everyday, core business of selling goods or services?",Collecting cash from customers for ordinary sales is a core operating activity — squarely inside operating cash flow.,,clock
u6l2,Operating Cash Flow,question,Operating cash flow starts from net income and adjusts for non-cash items and working capital changes.,True,False,,,True,Recall the second intro card's description of how OCF is typically built.,"That's exactly the standard approach: start with net income, add back non-cash expenses, and adjust for changes in working capital, to arrive at operating cash flow.",,clock
u6l2,Operating Cash Flow,question,"A company's net income is flat year over year, but its operating cash flow declines sharply, driven by a big rise in accounts receivable. What does this suggest?",Nothing — receivables have no connection to cash flow,"The company is generating sales on paper but struggling to actually collect cash from customers, even though reported profit looks fine",The company's accounting must be fraudulent,Operating cash flow and receivables move independently,B,Recall the balance sheet red flags lesson — what did rising receivables relative to revenue suggest there?,"Rising receivables tie up cash in uncollected sales — connecting directly back to the balance sheet red flag lesson, and showing up here as weaker operating cash flow despite flat net income.",,clock
u6l2,Operating Cash Flow,question,Why do many investors consider operating cash flow a more reliable indicator of a business's health than net income alone?,Operating cash flow is always a smaller number than net income,"Operating cash flow reflects real cash actually generated by the core business, which is harder to distort with accounting choices than net income can sometimes be",Net income is never useful for any purpose,"Operating cash flow includes financing activities, making it more complete",B,What makes actual cash movement harder to manipulate than an accrual-based profit figure?,"Because operating cash flow tracks real cash actually moving, it's generally seen as a harder number to distort through accounting choices than net income, which is why many investors weight it heavily.",,clock
u6l3,Investing Cash Flow,intro,Cash tied to long-term assets,"Investing cash flow captures cash spent on or received from long-term assets — buying equipment or property (capex), or selling off an old asset or investment.",,,,,,,FALSE,clock
u6l3,Investing Cash Flow,intro,Usually negative for growing companies,"A company investing heavily in its future — new factories, new equipment — will typically show negative investing cash flow, and that's not automatically a bad sign.",,,,,,,FALSE,clock
u6l3,Investing Cash Flow,intro,Key phrase,"Investing cash flow reflects cash used to acquire, or received from selling, long-term assets — often negative for a company actively growing its asset base.",,,,,,,TRUE,clock
u6l3,Investing Cash Flow,question,"A company spends ₹30,00,000 cash to buy new manufacturing equipment during the year. This shows up as:",Positive operating cash flow,Negative investing cash flow,Positive financing cash flow,It doesn't appear on the cash flow statement at all,B,"Is this cash spent on a long-term asset, or day-to-day operations?",Buying long-term equipment is a classic investing activity — cash going out to acquire a long-term asset shows up as negative (an outflow) in investing cash flow.,,clock
u6l3,Investing Cash Flow,question,A rapidly growing company shows consistently negative investing cash flow every year. Is this automatically a red flag?,"Yes, always — negative cash flow anywhere is always bad","Not necessarily — it can simply reflect healthy, ongoing investment in growth, like new equipment or facilities","Yes, it means the company is losing money overall",It's meaningless and shouldn't be analyzed at all,B,What did the second intro card say about negative investing cash flow for growing companies?,Consistent capital investment in growth is normal and often a healthy sign for an expanding business — negative investing cash flow alone isn't a red flag without more context.,,clock
u6l3,Investing Cash Flow,question,Selling off an old piece of equipment for cash would show up as a cash inflow in the investing section.,True,False,,,True,"Is this cash coming from, or going toward, a long-term asset?","Cash received from selling a long-term asset is exactly the kind of transaction the investing section captures, this time as an inflow rather than an outflow.",,clock
u6l3,Investing Cash Flow,question,"A struggling company suddenly shows large POSITIVE investing cash flow, driven by selling off major pieces of its factory equipment. What might this suggest, worth investigating further?",Definitely nothing concerning — positive cash flow is always good news,"Possibly a company raising cash by selling productive assets, which could hurt its future ability to operate — worth investigating why",That the company is expanding rapidly,That depreciation has stopped being relevant,B,Is selling off the tools you need to run your business usually a sign of strength or of distress?,Selling core productive assets to raise cash can be a sign of financial distress rather than strength — a positive investing cash flow number here deserves a closer look at what's actually being sold and why.,,clock
