lesson_id,lesson_title,row_type,question_or_heading,option_a,option_b,option_c,option_d,answer,hint,explanation,key_phrase,icon
u9l1,Current Ratio,intro,A quick liquidity check,Current Ratio = Current Assets ÷ Current Liabilities. It's the ratio version of the working capital concept from Unit 4 — a single number instead of a rupee figure.,,,,,,,FALSE,scale
u9l1,Current Ratio,intro,Reading the number,A ratio above 1.0 means current assets exceed current liabilities. Much below 1.0 can signal trouble covering near-term obligations — though 'ideal' varies a lot by industry.,,,,,,,FALSE,scale
u9l1,Current Ratio,intro,Key phrase,Current Ratio = Current Assets ÷ Current Liabilities — a single number version of the working capital cushion from Unit 4.,,,,,,,TRUE,scale
u9l1,Current Ratio,question,"A company has ₹60,00,000 in current assets and ₹40,00,000 in current liabilities. What is its current ratio?",0.67,1.0,1.5,2.5,C,Current Ratio = Current Assets ÷ Current Liabilities.,"₹60,00,000 ÷ ₹40,00,000 = 1.5 — the company has ₹1.50 of current assets for every ₹1 of current liabilities due soon.",,scale
u9l1,Current Ratio,question,A company reports a current ratio of 0.6. What does this most directly suggest?,The company has far more current assets than current liabilities,"Current liabilities exceed current assets, which may raise questions about near-term financial flexibility",This company has zero liabilities,"This ratio is meaningless without more context, full stop",B,Is a ratio below 1.0 a sign of more or less current assets than current liabilities?,"A current ratio below 1.0 means current liabilities exceed current assets — echoing the negative working capital lesson from Unit 4, worth investigating rather than assuming automatically bad.",,scale
u9l1,Current Ratio,question,"The current ratio and working capital (from Unit 4) are measuring essentially the same underlying relationship, just expressed differently.",True,False,,,True,Recall working capital's formula — Current Assets minus Current Liabilities. How does that relate to Current Assets DIVIDED BY Current Liabilities?,"Both use the exact same two inputs — current assets and current liabilities — working capital as a subtraction, the current ratio as a division; two lenses on the same underlying relationship.",,scale
u9l1,Current Ratio,question,Why might 'the ideal current ratio' differ significantly between industries?,There's no such thing as an ideal current ratio varying by industry — one number fits all businesses,"Different industries have very different cash conversion cycles and typical financing patterns, so what's a comfortable cushion in one industry might be excessive or insufficient in another",Current ratio only applies to manufacturing companies,All companies in every industry should target exactly 1.0,B,Recall the cash conversion cycle lesson — do all industries naturally tie up working capital the same way?,"Just as cash conversion cycles vary widely by industry, so does what counts as a healthy current ratio — a fast-turning retailer and a slow-cycle manufacturer naturally operate comfortably at very different levels.",,scale
u9l1,Current Ratio,question,A company's current ratio has been rising steadily for three years. Is this automatically good news?,"Yes, always — a rising current ratio is unambiguously positive with no exceptions","Not necessarily — it could reflect genuinely improving liquidity, or it could reflect inefficiently large piles of cash or slow-moving inventory sitting idle rather than being put to productive use","No, a rising current ratio is always bad news",Current ratio trends have no analytical meaning,B,Could 'more' current assets relative to current liabilities sometimes reflect inefficiency rather than strength?,"A rising current ratio isn't automatically pure good news — it's worth checking whether it reflects genuine financial strength or simply excess, underutilized cash and slow-moving inventory sitting on the balance sheet.",,scale
u9l2,Quick Ratio,intro,A stricter test,"Quick Ratio = (Current Assets − Inventory) ÷ Current Liabilities. It excludes inventory, since inventory can be the slowest current asset to actually convert into cash.",,,,,,,FALSE,scale
u9l2,Quick Ratio,intro,Also called the 'acid-test' ratio,The quick ratio asks a tougher question than the current ratio: could the company cover its near-term obligations even WITHOUT relying on selling inventory first?,,,,,,,FALSE,scale
