lesson_id,lesson_title,row_type,question_or_heading,option_a,option_b,option_c,option_d,answer,hint,explanation,key_phrase,icon
u2l1,What Is a Market?,intro,A market is just an organized way to trade,"A vegetable market, a stock exchange, and an online marketplace all do the same basic job: they bring buyers and sellers together so trades can happen without either side hunting the whole city for a match.",,,,,,,FALSE,coin
u2l1,What Is a Market?,intro,What a market actually needs,"For a market to work, it needs something to trade, people willing to buy and sell it, and some agreed way to settle on a price. Remove any one of those and it stops being a market.",,,,,,,FALSE,coin
u2l1,What Is a Market?,intro,Key phrase,A market is a system that lets buyers and sellers find each other and agree on a price.,,,,,,,TRUE,coin
u2l1,What Is a Market?,question,A roadside sabzi mandi and the Bombay Stock Exchange are both examples of markets mainly because:,Both sell food,Both bring buyers and sellers together to agree on a price,Both are run by the government,Both only operate in the morning,B,Strip away the products — what's the shared mechanism?,"Very different products, same underlying job: connecting people who want to buy with people who want to sell, and letting a price emerge.",,coin
u2l1,What Is a Market?,question,Which of these is NOT something a functioning market needs?,Something to trade,A way to agree on price,Buyers and sellers,A guarantee that prices never change,D,Which one describes a feature markets are famous for lacking?,Prices constantly changing is completely normal — a market that never repriced anything wouldn't be doing its job.,,coin
u2l1,What Is a Market?,question,"A market must have a physical building, like an exchange floor, to count as a real market.",True,False,,,False,Think about online marketplaces and phone-based trading.,"Plenty of markets are entirely virtual — a phone call market, an app, or an electronic exchange all still count, as long as buyers and sellers can meet and agree on price.",,coin
u2l1,What Is a Market?,question,An online resale app where people list used furniture and others bid on it is best described as:,"Not a real market, since nothing is manufactured there",A market — it connects buyers and sellers and lets a price emerge,A charity,A government service,B,Does it have the three ingredients from this lesson?,"It has goods, willing buyers and sellers, and a price-discovery mechanism (bids) — that's a market, full stop.",,coin
u2l1,What Is a Market?,question,Why do markets tend to work better than everyone individually hunting for trade partners?,They eliminate the need for money entirely,"They concentrate buyers and sellers in one place, cutting the effort needed to find a match",They guarantee everyone gets a fair price,They remove all risk from trading,B,Think about search costs — what's expensive to do alone?,Markets exist largely to cut down the cost and effort of finding someone to trade with — that concentration is the whole value they add.,,coin
u2l2,"Buyers, Sellers & Market Makers",intro,Every trade needs two willing sides,"No trade happens unless a buyer thinks the price is fair enough to pay and a seller thinks it's fair enough to accept — at that instant, both sides believe they're getting a good deal.",,,,,,,FALSE,scale
u2l2,"Buyers, Sellers & Market Makers",intro,Market makers fill the gaps,"Some markets have almost no buyers and sellers waiting at the same moment. A market maker steps in, always ready to buy or sell, so trades can still happen quickly — for a small profit on the difference.",,,,,,,FALSE,scale
u2l2,"Buyers, Sellers & Market Makers",intro,Key phrase,"A market maker is a firm that continuously quotes both a buy and a sell price, so trading stays possible even without a matching counterparty right that instant.",,,,,,,TRUE,scale
