lesson_id,lesson_title,row_type,question_or_heading,option_a,option_b,option_c,option_d,answer,hint,explanation,key_phrase,icon
u10l1,Gathering the Filings,intro,What you actually need,"A real diagnostic starts with three documents: the balance sheet, the income statement, and the cash flow statement — ideally for the current period and at least one or two prior periods for comparison.",,,,,,,FALSE,book
u10l1,Gathering the Filings,intro,Footnotes are not optional reading,"As covered back in Unit 4, real obligations and important context often live in the footnotes — skipping them means working with an incomplete picture from the start.",,,,,,,FALSE,book
u10l1,Gathering the Filings,intro,Key phrase,"A real diagnostic starts with the balance sheet, income statement, and cash flow statement across multiple periods, plus footnotes — not just the current year's headline numbers.",,,,,,,TRUE,book
u10l1,Gathering the Filings,question,Which THREE documents form the essential starting point for diagnosing a company's financial health?,Only the balance sheet,Only the income statement,"The balance sheet, income statement, and cash flow statement together",Just a stock price chart,C,"Recall the three statements covered across Units 4, 5, and 6.","Just as those three units each built one piece of the picture, a real diagnostic needs all three statements together, not any single one alone.",,book
u10l1,Gathering the Filings,question,"Why is it important to gather MULTIPLE periods of filings, rather than just the most recent one?",A single period is always sufficient for any analysis,"Trends over time (like the DSO or margin trends covered in earlier units) reveal much more than a single snapshot, and many red flags only show up as a pattern across periods",Prior periods are legally irrelevant to current analysis,Multiple periods always show identical numbers,B,"Recall the many trend-based red flags covered throughout Units 4-9 — revenue vs. receivables growth, margin trends, ratio trends. Could any of those be spotted from one single period alone?","Nearly every red flag and diagnostic pattern covered throughout this book — from receivables growing faster than revenue to declining interest coverage — only becomes visible by comparing multiple periods, not from a single snapshot.",,book
u10l1,Gathering the Filings,question,Footnotes and disclosures can generally be skipped without losing anything important in a real financial diagnostic.,True,False,,,False,Recall the off-balance-sheet items lesson from Unit 4 — what kind of real obligations sometimes live only in the footnotes?,"As Unit 4 covered, real obligations like contingent liabilities and certain guarantees can live only in the footnotes — skipping them risks missing genuinely important context.",,book
u10l1,Gathering the Filings,question,Why might comparing a company's filings against a close industry peer's filings be a valuable addition to gathering just that one company's own statements?,Peer comparison is never useful and should be skipped,"As covered throughout Units 8 and 9, many ratios and patterns are only meaningful in industry context — a peer's filings provide exactly that comparison point",Peer filings are always identical to the company's own filings,Only regulators are permitted to compare companies to their peers,B,Recall the repeated industry-context lessons from Units 8 and 9 — what did those lessons say was needed to properly interpret a ratio?,"Just as those lessons emphasized, having a relevant peer's filings on hand provides the industry context needed to properly interpret whether a given ratio or pattern is actually notable, or simply normal for that industry.",,book
u10l1,Gathering the Filings,question,"Before diving into any ratio calculations, what's a sensible first step recommended by this lesson when you're first handed a company's filings?",Immediately calculate every ratio from Units 8 and 9 without reading anything else first,"Get oriented — confirm you have the balance sheet, income statement, and cash flow statement across multiple periods, and skim the footnotes for anything unusual, before diving into detailed ratio work",Skip straight to reading only the footnotes and ignore the statements themselves,Assume the filings are complete without checking what you actually have,B,"What's the sensible sequence — orient first, or calculate first?","Just as Unit 4's balance sheet capstone recommended orienting with the big picture before drilling into ratios, gathering and confirming you have the right documents across the right time periods is the sensible first step before any detailed calculation begins.",,book
u10l2,Sizing Up the Balance Sheet,intro,Start with the big totals,"Recall Unit 4's capstone: confirm total assets, liabilities, and equity, and that they balance — your orientation point before anything else.",,,,,,,FALSE,book
u10l2,Sizing Up the Balance Sheet,intro,Then the current/non-current mix and working capital,"Check how assets and liabilities split between current and non-current, and calculate working capital — your first read on near-term financial cushion.",,,,,,,FALSE,book
u10l2,Sizing Up the Balance Sheet,intro,Key phrase,"Sizing up a balance sheet means checking the big totals, the current/non-current mix, working capital, and any footnote-flagged items — in that order.",,,,,,,TRUE,book
u10l2,Sizing Up the Balance Sheet,question,"You're handed a balance sheet showing total assets of ₹5,00,00,000 and total liabilities of ₹3,20,00,000. What should equity be, and does this check out?","₹8,20,00,000 — yes, this checks out","₹1,80,00,000 — this is the value that makes the balance sheet balance, as it should","₹3,20,00,000 — this seems suspicious",There's no way to verify this without more information,B,Recall the fundamental balance sheet equation from Unit 4.,"₹5,00,00,000 − ₹3,20,00,000 = ₹1,80,00,000 — exactly the equity figure the fundamental Assets = Liabilities + Equity equation requires, confirming the balance sheet is internally consistent.",,book
u10l2,Sizing Up the Balance Sheet,question,"After confirming the big totals balance, what's the next sensible step in sizing up a balance sheet, based on Unit 4's capstone?",Immediately move to the income statement without further balance sheet work,"Examine the current/non-current mix of both assets and liabilities, and calculate working capital",Assume the balance sheet analysis is complete,Skip directly to industry comparisons,B,Recall the specific sequence Unit 4's own capstone lesson recommended.,"Just as Unit 4's capstone laid out, the natural next step after confirming the big totals is examining the current/non-current split and calculating working capital — your first read on near-term financial cushion.",,book
