lesson_id,lesson_title,row_type,question_or_heading,option_a,option_b,option_c,option_d,answer,hint,explanation,key_phrase,icon
u5l1,Revenue: The Top Line,intro,Where the income statement starts,Revenue — also called sales or turnover — is the total amount a company earned from its core business activities before subtracting any costs. It sits at the very top of the income statement.,,,,,,,FALSE,book
u5l1,Revenue: The Top Line,intro,"Recognized when earned, not when paid","Revenue is typically recorded when a good or service is delivered, not necessarily when cash actually changes hands — a sale on credit still counts as revenue immediately.",,,,,,,FALSE,book
u5l1,Revenue: The Top Line,intro,Key phrase,"Revenue is the total value of goods or services delivered in a period, recorded when earned — not necessarily when cash is received.",,,,,,,TRUE,book
u5l1,Revenue: The Top Line,question,"A company delivers ₹5,00,000 worth of goods to a customer in March, but the customer only pays in May. When is this revenue typically recorded?","In May, when cash is received","In March, when the goods were delivered",Split evenly between March and May,"Never, until fully paid",B,"Is revenue recognized on delivery, or on payment?",Revenue is generally recognized when it's earned — when the goods are delivered — not when cash actually arrives.,,book
u5l1,Revenue: The Top Line,question,Which of these best describes 'revenue' on an income statement?,Profit after all expenses,"The total amount earned from core business activities, before any costs are subtracted",Cash currently in the bank,The value of unsold inventory,B,Is revenue a starting point or an ending result on the income statement?,"Revenue is the starting 'top line' — the full amount earned from the business, before a single expense is subtracted.",,book
u5l1,Revenue: The Top Line,question,Revenue and cash received are always exactly the same number in the same period.,True,False,,,False,What did the intro cards say about credit sales?,"Revenue can be recognized before cash is actually collected — a credit sale counts as revenue right away, even though the cash shows up later.",,book
u5l1,Revenue: The Top Line,question,Why is revenue called the 'top line'?,Because it's always the largest number on any financial statement,"Because it's the first line item on the income statement, before any costs are deducted",Because it's the least important figure,Because it only applies to top-performing companies,B,"Where does it physically sit on the page, relative to every deduction that follows?","It sits at the very top of the income statement — every other line represents a cost being subtracted from it, working down toward profit.",,book
u5l1,Revenue: The Top Line,question,"A software company signs a 12-month subscription contract worth ₹12,00,000, paid upfront in January. How is this revenue typically recognized?","All ₹12,00,000 in January, since that's when cash arrived","Spread across the 12 months as the service is actually delivered, roughly ₹1,00,000 per month",Never recognized as revenue,Only recognized at the end of the 12 months,B,"Is the whole service delivered on day one, or spread over the year?","Since the service is delivered gradually over 12 months, revenue is typically recognized as it's earned each month — not dumped entirely into the month cash was collected.",,book
u5l2,Cost of Goods Sold & Gross Profit,intro,COGS: the direct cost of what was sold,"Cost of Goods Sold (COGS) captures the direct costs of producing or acquiring whatever the company sold — raw materials, direct labor, manufacturing costs.",,,,,,,FALSE,book
u5l2,Cost of Goods Sold & Gross Profit,intro,Gross profit is the first real margin,"Gross Profit = Revenue − COGS. It shows how much is left after covering the direct cost of the product itself, before any overhead, marketing, or admin costs.",,,,,,,FALSE,book
